,"['Au0+', 'Au0+']","['Au0+', 'Li0+']","['Au0+', 'Tc0+']","['B0+', 'B0+']","['B3-', 'B3-']","['Ba0+', 'Ba0+']","['C0+', 'C0+']","['C0+', 'O0+']","['C4-', 'C4-']","['Ca0+', 'Ca0+']","['Cl0+', 'Cl0+']","['Co0+', 'Co0+']","['Co0+', 'Li0+']","['Co0+', 'Rh0+']","['Co0+', 'Tc0+']","['Cr0+', 'Cr0+']","['Cr0+', 'Fe0+']","['Cr0+', 'Ir0+']","['Cr0+', 'Tc0+']","['Cu0+', 'Cu0+']","['Cu0+', 'Ni0+']","['Cu0+', 'Pd0+']","['Cu0+', 'Tc0+']","['Er0+', 'Er0+']","['F-', 'F-']","['Fe0+', 'Fe0+']","['Fe0+', 'Pt0+']","['Fe0+', 'Tc0+']","['Ga0+', 'Ga0+']","['H-', 'H-']","['Hf0+', 'Hf0+']","['Hg0+', 'Hg0+']","['Ir0+', 'Ir0+']","['Ir0+', 'Mn0+']","['Ir0+', 'Tc0+']","['Ir0+', 'V0+']","['La0+', 'La0+']","['La0+', 'Y0+']","['Li0+', 'Li0+']","['Li0+', 'Ru0+']","['Mn0+', 'Mn0+']","['Mn0+', 'Ni0+']","['Mn0+', 'Tc0+']","['Mo0+', 'Mo0+']","['Ni0+', 'Ni0+']","['Ni0+', 'Pt0+']","['Ni0+', 'Tc0+']","['O0+', 'O0+']","['O2-', 'O2-']","['Os0+', 'Os0+']","['Os0+', 'Pd0+']","['Os0+', 'Pt0+']","['Os0+', 'Sc0+']","['Pd0+', 'Pd0+']","['Pd0+', 'Pt0+']","['Pd0+', 'Tc0+']","['Pt0+', 'Pt0+']","['Pt0+', 'Tc0+']","['Re0+', 'Re0+']","['Rh0+', 'Rh0+']","['Rh0+', 'Tc0+']","['Ru0+', 'Ru0+']","['Sc0+', 'Sc0+']","['Sc0+', 'Tc0+']","['Sc0+', 'Y0+']","['Si0+', 'Si0+']","['Si4-', 'Si4-']","['Sr0+', 'Sr0+']","['Tc0+', 'Tc0+']","['Tc3-', 'Tc3-']","['Te2-', 'Te2-']","['Ti0+', 'Ti0+']","['U0+', 'U0+']","['W0+', 'W0+']","['Y0+', 'Y0+']","['Zn0+', 'Zn0+']","['Zr0+', 'Zr0+']"
21,,,,,,,,,,,,172.19535755639066,,,,,,,,,,,,,,227.30496446870063,,,,,,,-522.3298604616834,,,,,,,,,,,-1164.514544038531,-135.37774707642046,,,,,,,,,,,,,,,,,44.38854586951652,,,,,,,,,,,,,,,
22,,,,,,,,,,,,167.76146784954966,,,,,,,,,,,,,,184.45463833047984,,,,,,,-250.54255363082808,,,,,,,,,,,-959.1285340391206,-104.73109916018558,,,,,,,,,,,,,,,,,96.08882519359054,,,,,,,,,,,,,,,
23,,,,,,,,,,,,168.61564774383527,,,,,,,,,,,,,,349.1557862875819,,,,,,,276.7455868245959,,,,,,,,,,,-964.5497434552417,-125.17693061946,,,,,,,,,,,,,,,,,67.6207704878924,,,,,,,,,,,,,,,
24,,,,,,,,,,,,172.28229306612332,,,,,,,,,,,,,,-472.44562341810786,,,,,,,414.0781676786251,,,,,,,,,,,-216.94951580650445,-100.51525275655672,,,,,,,,,,,,,,,,,40.949233247096686,,,,,,,,,,,,,,,
25,,,,,,,,,,,,-177.5931587836664,,,,,,,,,,,,,,-487.2041486586471,,,,,,,204.63123236858723,,,,,,,,,,,-175.08184560669991,1282.657609168854,,,,,,,,,,,,,,,,,88.73562702651583,,,,,,,,,,,,,,,
26,,,,,,,,,,,,-177.03012204293424,,,,,,,,,,,,,,423.6408873107454,,,,,,,-274.2307572212349,,,,,,,,,,,-175.50546985570594,1258.102384740238,,,,,,,,,,,,,,,,,29.438959608505343,,,,,,,,,,,,,,,
27,,,,,,,,,,,,-187.51222138417216,,,,,,,,,,,,,,457.1040967739412,,,,,,,338.1973135972466,,,,,,,,,,,-175.05373485117053,-415.8417992496727,,,,,,,,,,,,,,,,,144.04094557351124,,,,,,,,,,,,,,,
28,,,,,,,,,,,,-195.52796018475033,,,,,,,,,,,,,,106.56079152235301,,,,,,,,,,,,,,,,,,-183.26481364045702,-1469.8114514595613,,,,,,,,,,,,,,,,,140.94210286471161,,,,,,,,,,,,,,,
29,,,,,,,,,,,,138.2404640799623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-242.4444373116259,1019.1076654030261,,,,,,,,,,,,,,,,,-133.44024696714445,,,,,,,,,,,,,,,
30,,,,,,,,,,,,148.9449135708336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-191.4171440799784,1009.4003002189985,,,,,,,,,,,,,,,,,-53.95371162312199,,,,,,,,,,,,,,,
31,,,,,,,,,,,,-70.02959720511768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-208.53063670355965,-1534.902515614584,,,,,,,,,,,,,,,,,174.85443348734492,,,,,,,,,,,,,,,
32,,,,,,,,,,,,-71.50190652287921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158.1069837535207,-480.6061199557048,,,,,,,,,,,,,,,,,-27.33692485147401,,,,,,,,,,,,,,,
33,,,,,,,,,,,,-72.40765740198657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-220.92317318965337,-248.04727874239921,,,,,,,,,,,,,,,,,159.89758410100984,,,,,,,,,,,,,,,
34,,,,,,,,,,,,-68.7646440470981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166.65602998757842,73.4574717937578,,,,,,,,,,,,,,,,,176.1436603191542,,,,,,,,,,,,,,,
35,,,,,,,,,,,,703.1362858876298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-228.2652499555375,128.72039239564003,,,,,,,,,,,,,,,,,103.04412789931564,,,,,,,,,,,,,,,
36,,,,,,,,,,,,3082.2250422374236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-196.5769734519806,-98.23212768787317,,,,,,,,,,,,,,,,,149.3335106176017,,,,,,,,,,,,,,,
37,,,,,,,,,,,,599.0022838673249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-297.65561156744974,-81.81999477519128,,,,,,,,,,,,,,,,,44.43407317977022,,,,,,,,,,,,,,,
38,,,,,,,,,,,,724.4894706160335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-225.19380043008897,-409.3048503811111,,,,,,,,,,,,,,,,,-108.45593841513534,,,,,,,,,,,,,,,
39,,,,,,,,,,,,-380.72373651676185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211.95541829901975,412.0527180297449,,,,,,,,,,,,,,,,,158.94860091219755,,,,,,,,,,,,,,,
40,,,,,,,,,,,,-521.1106578235933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166.42779417199006,661.4117442106908,,,,,,,,,,,,,,,,,60.56312805803532,,,,,,,,,,,,,,,
41,,,,,,,,,,,,482.56323209557576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-159.55804952344238,380.8507587346187,,,,,,,,,,,,,,,,,144.00516330955855,,,,,,,,,,,,,,,
42,,,,,,,,,,,,-164.09888178210855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-172.2010375436182,680.1855785496981,,,,,,,,,,,,,,,,,97.01060939133913,,,,,,,,,,,,,,,
43,,,,,,,,,,,,2300.8064433482546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-186.51497590514566,-640.4048182816955,,,,,,,,,,,,,,,,,131.6295484336203,,,,,,,,,,,,,,,
44,,,,,,,,,,,,-3906.4778663009897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-223.40137648547574,-592.541237666589,,,,,,,,,,,,,,,,,-48.659645409153256,,,,,,,,,,,,,,,
45,,,,,,,,,,,,-625.5097571154329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158.51184482059864,574.679072415082,,,,,,,,,,,,,,,,,85.86442919857916,,,,,,,,,,,,,,,
46,,,,,,,,,,,,-143.44030160767034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-216.5456758780408,577.2352710491677,,,,,,,,,,,,,,,,,166.85102306024982,,,,,,,,,,,,,,,
47,,,,,,,,,,,,1165.1728841404185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.87892711550796,616.3480692071232,,,,,,,,,,,,,,,,,45.10966027882881,,,,,,,,,,,,,,,
48,,,,,,,,,,,,-3157.0122007424966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-212.7928988620444,-272.62505936495944,,,,,,,,,,,,,,,,,-49.78611376647501,,,,,,,,,,,,,,,
49,,,,,,,,,,,,-107.98458760774088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-205.77056678183072,-241.6043542790258,,,,,,,,,,,,,,,,,-147.2134566987072,,,,,,,,,,,,,,,
50,,,,,,,,,,,,-114.51150799971043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162.41059618842974,246.23824317513578,,,,,,,,,,,,,,,,,139.18263687512263,,,,,,,,,,,,,,,
51,,,,,,,,,,,,-116.45599916394798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-190.17432173312454,-233.3714466153378,,,,,,,,,,,,,,,,,144.18231590863883,,,,,,,,,,,,,,,
52,,,,,,,,,,,,275.1733438047945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-177.86024966158413,261.32011897155354,,,,,,,,,,,,,,,,,178.5357554976854,,,,,,,,,,,,,,,
53,,,,,,,,,,,,192.4802891743729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-197.36390674451354,-271.5896278636836,,,,,,,,,,,,,,,,,-121.42684535228176,,,,,,,,,,,,,,,
54,,,,,,,,,,,,208.31472503438587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.67494506854723,253.8796629102879,,,,,,,,,,,,,,,,,-83.7493612727331,,,,,,,,,,,,,,,
55,,,,,,,,,,,,211.63401163189718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-211.0351850908623,241.68309730092068,,,,,,,,,,,,,,,,,122.20870127947495,,,,,,,,,,,,,,,
56,,,,,,,,,,,,200.89837395192419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-154.32272741351733,-254.66183893287993,,,,,,,,,,,,,,,,,-118.22182466429337,,,,,,,,,,,,,,,
57,,,,,,,,,,,,275.90425134200285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-156.17188636782646,-279.7787878824066,,,,,,,,,,,,,,,,,-47.31189076206903,,,,,,,,,,,,,,,
58,,,,,,,,,,,,118.39544097132921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-269.7451957078008,,,,,,,,,,,,,,,,,-77.40862943064292,,,,,,,,,,,,,,,
